extra_id,booking_id,description,amount
523102,5231,Phone Calls £4.96,4.96
523501,5235,Breakfast x 12,108
523701,5237,Breakfast x 3,27
523702,5237,Phone Calls £4.54,4.54
523901,5239,Breakfast x 3,27
524001,5240,Breakfast x 8,72
524201,5242,Breakfast x 4,36
524302,5243,Phone Calls £2.43,2.43
524501,5245,Breakfast x 1,9
524601,5246,Breakfast x 10,90
524901,5249,Breakfast x 3,27
525101,5251,Breakfast x 4,36
525102,5251,Phone Calls £4.31,4.31
525201,5252,Breakfast x 3,27
525302,5253,Phone Calls £1.23,1.23
525402,5254,Phone Calls £3.51,3.51
525701,5257,Breakfast x 1,9
526001,5260,Breakfast x 4,36
526002,5260,Phone Calls £3.86,3.86
526101,5261,Breakfast x 1,9
526102,5261,Phone Calls £4.90,4.9
526301,5263,Breakfast x 4,36
526302,5263,Phone Calls £1.10,1.1
526702,5267,Phone Calls £1.98,1.98
527101,5271,Breakfast x 1,9
527202,5272,Phone Calls £0.63,0.63
527402,5274,Phone Calls £0.70,0.7
527501,5275,Breakfast x 3,27
527502,5275,Phone Calls £3.21,3.21
527601,5276,Breakfast x 8,72
527701,5277,Breakfast x 1,9
527801,5278,Breakfast x 2,18
528002,5280,Phone Calls £1.96,1.96
528202,5282,Phone Calls £1.85,1.85
528801,5288,Breakfast x 2,18
528802,5288,Phone Calls £0.69,0.69
529202,5292,Phone Calls £3.90,3.9
529401,5294,Breakfast x 6,54
529502,5295,Phone Calls £2.98,2.98
529702,5297,Phone Calls £4.28,4.28
530001,5300,Breakfast x 2,18
530101,5301,Breakfast x 4,36
530402,5304,Phone Calls £0.79,0.79
530702,5307,Phone Calls £3.22,3.22
530801,5308,Breakfast x 10,90
530802,5308,Phone Calls £0.79,0.79
531102,5311,Phone Calls £1.40,1.4
531301,5313,Breakfast x 5,45
531401,5314,Breakfast x 3,27
531501,5315,Breakfast x 1,9
531702,5317,Phone Calls £1.99,1.99
531901,5319,Breakfast x 8,72
531902,5319,Phone Calls £1.07,1.07
532102,5321,Phone Calls £2.58,2.58
532302,5323,Phone Calls £3.39,3.39
532402,5324,Phone Calls £0.92,0.92
532601,5326,Breakfast x 5,45
532701,5327,Breakfast x 3,27
532801,5328,Breakfast x 2,18
532901,5329,Breakfast x 4,36
533001,5330,Breakfast x 6,54
533101,5331,Breakfast x 2,18
533202,5332,Phone Calls £1.56,1.56
533302,5333,Phone Calls £1.07,1.07
533801,5338,Breakfast x 5,45
533901,5339,Breakfast x 5,45
534202,5342,Phone Calls £1.28,1.28
534402,5344,Phone Calls £2.43,2.43
534501,5345,Breakfast x 15,135
534601,5346,Breakfast x 5,45
534602,5346,Phone Calls £1.56,1.56
534801,5348,Breakfast x 8,72
534901,5349,Breakfast x 5,45
535001,5350,Breakfast x 2,18
535002,5350,Phone Calls £1.87,1.87
535201,5352,Breakfast x 4,36
535402,5354,Phone Calls £0.89,0.89
535602,5356,Phone Calls £4.77,4.77
535701,5357,Breakfast x 8,72
535901,5359,Breakfast x 5,45
535902,5359,Phone Calls £4.06,4.06
