ukprn,institution,subject,level,question,A_STRONGLY_DISAGREE,A_DISAGREE,A_NEUTRAL,A_AGREE,A_STRONGLY_AGREE,A_NA,CI_MIN,score,CI_MAX,response,sample,aggregate
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q09,4,4,4,56,33,0,70,89,97,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q10,0,4,15,54,27,1,60,81,92,26,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q11,0,4,4,42,50,1,74,92,98,26,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q12,0,4,16,48,32,2,59,80,92,25,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q13,0,11,19,37,33,0,49,70,85,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q14,8,0,12,38,42,1,60,81,92,26,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q15,7,4,15,44,30,0,53,74,88,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q16,11,15,7,44,22,0,46,67,83,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q17,0,0,7,44,48,0,74,93,98,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q18,0,5,10,55,30,7,61,85,95,20,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q19,0,0,4,38,58,1,79,96,99,26,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q20,0,0,0,27,73,1,85,100,100,26,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q21,0,0,4,38,58,1,79,96,99,26,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q22,0,4,4,44,48,0,74,93,98,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q01,0,11,15,52,22,0,53,74,88,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q02,4,7,11,48,30,0,57,78,90,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q03,0,11,11,33,44,0,57,78,90,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q04,0,4,23,46,27,1,52,73,87,26,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q05,7,4,4,70,15,0,65,85,95,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q06,7,7,7,48,30,0,57,78,90,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q07,4,4,15,56,22,0,57,78,90,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q08,4,7,11,41,37,0,57,78,90,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q09,4,11,7,52,26,0,57,78,90,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q10,0,22,7,37,33,0,49,70,85,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q11,7,4,4,56,30,0,65,85,95,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q12,0,7,26,33,33,0,46,67,83,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q13,15,4,26,37,19,0,36,56,74,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q14,22,15,15,33,15,0,29,48,68,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q15,19,7,15,37,22,0,39,59,77,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q16,11,19,22,33,15,0,29,48,68,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q17,4,15,11,48,22,0,49,70,85,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q18,7,7,15,48,22,0,49,70,85,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q19,0,4,11,63,22,0,65,85,95,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q20,0,0,19,59,22,0,61,81,92,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q21,0,7,19,56,19,0,53,74,88,27,39,NULL
10000275,Amersham and Wycombe College,(H) Creative Arts and Design,Other undergraduate,Q22,11,4,7,59,19,0,57,78,90,27,39,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,NHS1,4,9,20,47,20,1,60,67,73,226,278,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,NHS2,0,4,10,48,38,1,80,86,90,226,278,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,NHS3,4,5,10,48,33,0,75,81,86,227,278,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,NHS4,1,4,7,54,34,0,83,88,92,227,278,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,NHS5,2,3,6,44,44,0,84,89,93,227,278,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,NHS6,3,7,11,43,36,0,72,79,84,227,278,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q01,1,4,7,61,27,0,84,89,92,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q02,1,5,10,57,26,0,77,83,87,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q03,1,4,8,46,41,0,82,87,91,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q04,1,4,12,47,35,1,77,83,87,269,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q05,3,6,12,43,36,1,74,80,84,269,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q06,4,8,17,43,28,0,64,71,76,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q07,2,7,13,43,36,0,73,79,84,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q08,3,8,14,44,31,0,69,75,80,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q09,5,12,22,33,28,1,55,62,68,269,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q10,2,9,12,46,31,0,71,77,82,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q11,2,7,13,40,38,0,72,78,83,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q12,1,6,18,41,33,3,68,75,80,267,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q13,9,13,17,41,19,0,54,60,67,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q14,10,17,17,33,23,0,50,57,63,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q15,11,19,18,31,20,0,45,52,58,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q16,4,10,11,41,34,0,69,75,80,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q17,1,6,7,46,40,0,81,86,90,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q18,0,5,9,45,41,15,80,86,90,255,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q19,1,2,9,40,47,1,82,87,91,269,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q20,0,1,9,34,56,2,85,90,93,268,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q21,1,1,10,38,49,1,83,88,91,269,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,First degree,Q22,3,5,10,44,37,0,75,81,86,270,335,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,NHS1,6,10,13,46,25,1,66,71,76,374,523,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,NHS2,4,7,10,42,37,0,74,79,83,375,523,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,NHS3,5,7,13,44,30,1,70,75,79,374,523,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,NHS4,3,6,11,45,35,1,75,80,84,374,523,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,NHS5,2,2,9,45,42,1,82,87,90,374,523,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,NHS6,3,7,14,46,29,0,71,76,80,375,523,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q01,2,6,10,61,21,1,78,82,86,459,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q02,2,7,14,57,20,1,73,77,81,459,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q03,2,4,12,51,32,1,78,83,86,459,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q04,3,6,12,50,29,0,75,79,83,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q05,4,5,8,46,36,0,78,82,86,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q06,4,7,14,49,25,0,70,74,79,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q07,3,5,10,47,34,0,77,81,85,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q08,3,6,10,45,37,0,77,81,85,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q09,4,8,16,43,29,0,67,72,76,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q10,5,9,11,47,28,0,70,75,79,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q11,4,8,14,42,32,2,69,74,78,458,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q12,4,6,15,47,28,15,70,75,79,445,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q13,10,13,17,44,17,2,55,60,65,458,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q14,10,18,18,40,14,3,49,54,59,457,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q15,10,15,25,38,12,0,45,50,55,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q16,3,4,8,44,40,1,80,84,87,459,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q17,2,3,7,45,43,1,85,88,91,459,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q18,1,2,16,46,34,40,76,80,84,420,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q19,3,3,10,48,37,0,81,85,88,460,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q20,2,2,12,39,45,2,80,84,87,458,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q21,1,3,12,45,38,2,79,83,87,458,644,NULL
10000291,Anglia Ruskin University,(2) Subjects allied to Medicine,Other undergraduate,Q22,4,7,12,48,29,0,72,77,81,460,644,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q01,0,4,7,60,30,0,84,90,94,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q02,2,3,10,53,32,0,79,85,90,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q03,0,2,8,44,46,0,84,89,93,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q04,1,4,6,50,40,0,84,89,93,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q05,2,5,16,45,32,0,70,77,83,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q06,1,8,11,50,29,0,72,79,85,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q07,5,13,13,46,24,1,62,70,76,198,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q08,5,10,11,45,29,1,67,74,80,198,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q09,5,9,22,39,26,3,57,65,72,196,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q10,2,4,15,51,27,1,72,79,84,198,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q11,3,5,9,43,40,0,77,84,89,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q12,1,10,16,39,34,5,66,73,79,194,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q13,2,5,9,45,39,0,78,84,89,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q14,2,10,9,44,35,0,72,79,85,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q15,3,5,12,46,34,0,73,80,86,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q16,2,9,9,49,31,0,73,80,85,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q17,2,6,9,51,32,2,76,83,88,197,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q18,1,6,14,39,40,16,71,79,84,183,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q19,1,6,13,49,32,0,74,80,86,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q20,2,4,9,42,44,0,80,86,90,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q21,2,3,14,45,36,0,74,81,87,199,272,NULL
10000291,Anglia Ruskin University,(3) Biological Sciences,First degree,Q22,3,3,9,48,38,1,79,86,90,198,272,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q01,0,0,0,45,55,0,83,100,100,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q02,0,4,2,28,66,0,74,94,99,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q03,0,0,0,23,77,0,83,100,100,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q04,0,4,0,30,66,0,77,96,99,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q05,0,0,9,43,49,0,71,91,98,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q06,0,0,0,38,62,0,83,100,100,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q07,0,0,15,36,49,0,64,85,95,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q08,0,6,2,30,62,0,71,91,98,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q09,4,4,11,19,62,0,59,81,93,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q10,0,0,2,38,60,0,80,98,100,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q11,0,0,6,38,55,0,74,94,99,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q12,0,0,6,30,64,0,74,94,99,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q13,4,9,15,11,62,0,50,72,87,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q14,0,2,4,40,53,0,74,94,99,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q15,0,6,2,57,34,0,71,91,98,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q16,4,0,13,40,43,0,61,83,94,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q17,0,4,4,30,62,0,71,91,98,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q18,0,0,0,21,79,0,83,100,100,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q19,0,6,4,17,72,0,69,89,97,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q20,0,2,6,11,81,0,71,91,98,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q21,0,6,6,15,72,0,66,87,96,27,34,NULL
10000291,Anglia Ruskin University,(6) Physical Sciences,First degree,Q22,0,0,0,32,68,0,83,100,100,27,34,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q01,2,4,6,59,29,0,80,88,93,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q02,5,5,10,50,31,0,72,81,87,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q03,2,5,7,40,45,0,78,86,91,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q04,0,6,7,48,40,0,79,87,92,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q05,1,8,9,51,31,0,74,82,88,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q06,0,6,10,47,36,0,75,83,89,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q07,3,12,17,39,29,1,59,68,76,130,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q08,3,9,13,45,30,1,65,75,82,130,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q09,4,11,14,40,31,2,62,71,79,129,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q10,4,6,7,48,34,0,75,83,89,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q11,2,4,8,39,47,0,78,86,91,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q12,4,6,19,38,33,2,62,71,79,129,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q13,3,10,7,40,39,0,71,79,86,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q14,5,12,13,35,35,2,61,70,78,129,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q15,4,9,10,41,36,0,68,77,84,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q16,3,6,7,44,39,5,75,83,89,126,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q17,1,2,7,40,50,0,83,90,94,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q18,0,4,7,38,51,2,81,89,94,129,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q19,3,6,12,45,34,0,70,79,86,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q20,3,3,14,43,37,1,71,80,87,130,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q21,2,6,12,46,34,0,71,80,86,131,165,NULL
10000291,Anglia Ruskin University,(8) Computer Science,First degree,Q22,5,4,10,48,34,0,73,82,88,131,165,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q01,0,0,9,62,29,0,78,91,97,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q02,0,2,10,63,24,0,74,88,95,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q03,0,2,2,56,40,0,85,96,99,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q04,0,5,2,60,33,0,81,93,98,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q05,2,2,10,47,39,0,72,86,93,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q06,0,1,11,51,37,0,74,88,95,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q07,2,2,20,42,34,0,60,76,86,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q08,0,1,16,45,38,0,68,83,91,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q09,2,3,17,49,29,1,63,78,88,50,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q10,2,5,14,46,33,1,64,79,89,50,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q11,0,1,11,51,37,0,74,88,95,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q12,2,9,10,49,31,2,65,80,89,49,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q13,6,10,12,24,47,0,56,71,83,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q14,5,6,8,29,51,1,65,80,90,50,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q15,4,4,16,45,31,0,60,76,86,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q16,2,2,1,47,48,0,83,95,99,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q17,0,2,2,31,65,0,85,96,99,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q18,0,4,15,37,44,0,66,81,90,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q19,0,4,13,52,31,1,69,83,92,50,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q20,0,1,6,46,47,1,80,93,98,50,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q21,0,5,14,49,32,1,66,81,90,50,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,First degree,Q22,0,6,15,40,39,0,64,79,88,51,77,NULL
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q01,4,4,4,68,21,0,71,89,97,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q02,0,7,21,57,14,0,51,71,86,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q03,0,0,14,50,36,0,66,86,95,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q04,0,7,11,50,32,0,62,82,93,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q05,4,0,11,50,36,0,66,86,95,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q06,0,7,11,50,32,0,62,82,93,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q07,4,25,14,43,14,0,37,57,75,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q08,0,7,25,43,25,0,47,68,83,28,46,Y
10000291,Anglia Ruskin University,(9) Engineering and Technology,Other undergraduate,Q09,0,14,25,32,29,0,41,61,78,28,46,Y
